,word,detail,code
3680,exporter,other,0
3689,extender,other,0
3693,exterminator,other,0
3694,extinguisher,other,0
3697,extractor,other,0
3703,eyeliner,other,0
3707,eyewear,other,0
3713,facer,other,0
3714,faceworker,other,0
3715,facilitator,other,0
3721,fader,other,0
3724,failover,other,0
3731,faker,other,0
3736,faller,other,0
3741,falsifier,other,0
3750,fancier,other,0
3753,fantasizer,other,0
3767,farmworker,other,0
3773,farter,other,0
3797,fawner,other,0
3812,feeder,other,0
3816,feeler,other,0
3832,feller,other,0
3840,fender,other,0
3843,fermenter,other,0
3853,fertilizer,other,0
3886,fielder,other,0
3893,fighter,other,0
3905,filmgoer,other,0
3917,finder,other,0
3925,finisher,other,0
3938,firecracker,other,0
3940,firefighter,other,0
3941,firelighter,other,0
3942,firemaster,other,0
3943,firepower,other,0
3948,firewater,other,0
3956,fishmonger,other,0
3959,fitter,other,0
3963,fiver,other,0
3966,fixer,other,0
3967,fizzer,other,0
3978,flamer,other,0
3979,flamethrower,other,0
3982,flanger,other,0
3983,flanker,other,0
3987,flasher,other,0
3988,flashover,other,0
3994,flatterer,other,0
4012,flexor,other,0
4018,flipper,other,0
4021,floater,other,0
4023,flockmaster,other,0
4025,flogger,other,0
4027,floodwater,other,0
4031,floorwalker,other,0
4036,flowerer,other,0
4038,flowmeter,other,0
4042,fluorometer,other,0
4043,fluoropolymer,other,0
4053,flycatcher,other,0
4054,flyer,other,0
4056,flyover,other,0
4057,flypaper,other,0
4071,folder,other,0
4077,follower,other,0
4092,footballer,other,0
4095,footgear,other,0
4099,footwear,other,0
4114,forecaster,other,0
4115,forefather,other,0
4116,forefinger,other,0
4117,foreigner,other,0
4118,foremother,other,0
4120,forerunner,other,0
4125,forger,other,0
4136,forrader,other,0
4145,forwarder,other,0
4176,framer,other,0
4186,fraudster,other,0
4201,freelancer,other,0
4202,freeloader,other,0
4207,freethinker,other,0
4209,freewheeler,other,0
4210,freezer,other,0
4213,freighter,other,0
4216,frequenter,other,0
4218,freshener,other,0
4219,fresher,other,0
4220,freshwater,other,0
4232,frightener,other,0
4243,froghopper,other,0
4247,frontager,other,0
4259,fryer,other,0
4261,fucker,other,0
4278,funder,other,0
4280,fundraiser,other,0
4284,funkster,other,0
4286,funster,other,0
4291,furnisher,other,0
4338,galvanometer,other,0
4342,gambler,other,0
4344,gamekeeper,other,0
4346,gamer,other,0
4349,gamester,other,0
4358,gangbuster,other,0
4359,ganger,other,0
4360,gangster,other,0
4378,gasholder,other,0
4384,gasper,other,0
4385,gasser,other,0
4391,gatekeeper,other,0
4454,generator,other,0
4466,geographer,other,0
4486,getter,other,0
4503,ghostbuster,other,0
4505,ghostwriter,other,0
4538,girdler,other,0
4546,giver,other,0
4561,glasspaper,other,0
4568,glazier,other,0
4582,glider,other,0
4591,globetrotter,other,0
4592,globular,other,0
4603,glover,other,0
4608,gnatcatcher,other,0
4613,goalhanger,other,0
4614,goalkeeper,other,0
4616,goalkicker,other,0
4617,goalminder,other,0
4619,goalscorer,other,0
4626,gobbler,other,0
4630,gobstopper,other,0
4634,godfather,other,0
4635,godmother,other,0
4640,goer,other,0
4666,golfer,other,0
4677,goner,other,0
4700,gospeller,other,0
4705,gossipmonger,other,0
4730,grader,other,0
4731,gradiometer,other,0
4744,granddaughter,other,0
4745,grandfather,other,0
4747,grandmother,other,0
4752,grantor,other,0
4762,grasshopper,other,0
4765,grater,other,0
4768,gravedigger,other,0
4770,graver,other,0
4775,greaser,other,0
4781,greenbrier,other,0
4784,greengrocer,other,0
4785,greenkeeper,other,0
4788,greeter,other,0
4807,grinder,other,0
4813,gritter,other,0
4822,groper,other,0
4824,grosser,other,0
4830,grounder,other,0
4832,groundhopper,other,0
4834,groundwater,other,0
4843,grower,other,0
4844,growler,other,0
4846,grubber,other,0
4855,grunter,other,0
4862,guarantor,other,0
4885,gulper,other,0
4892,gunmaker,other,0
4894,gunner,other,0
4895,gunpowder,other,0
4896,gunslinger,other,0
4904,gusher,other,0
4936,hacker,other,0
4943,haemocytometer,other,0
4956,hagiographer,other,0
4961,hairdresser,other,0
4963,hairdryer,other,0
4995,handicapper,other,0
4996,handlebar,other,0
4997,handler,other,0
5000,handover,other,0
5012,hangover,other,0
5029,hardcover,other,0
5035,hardliner,other,0
5040,harper,other,0
5049,harvester,other,0
5060,hatemonger,other,0
5061,hater,other,0
5063,hatter,other,0
5065,haulier,other,0
5084,haymaker,other,0
5090,headbanger,other,0
5093,header,other,0
5094,headgear,other,0
5095,headhunter,other,0
5097,headliner,other,0
5099,headmaster,other,0
5101,headquarter,other,0
5103,headstander,other,0
5107,headwater,other,0
5108,healer,other,0
5116,heartbreaker,other,0
5119,heater,other,0
5127,heckler,other,0
5170,hellraiser,other,0
5172,helper,other,0
5185,heptachlor,other,0
5191,herder,other,0
5192,hereafter,other,0
5217,hewer,other,0
5227,higgler,other,0
5232,highlighter,other,0
5235,hijacker,other,0
5236,hiker,other,0
5265,hipper,other,0
5278,hitcher,other,0
5280,hitter,other,0
5286,hoarder,other,0
5287,hoaxer,other,0
5324,hogger,other,0
5328,holder,other,0
5329,holdover,other,0
5332,holidaymaker,other,0
5355,homebuilder,other,0
5356,homebuyer,other,0
5359,homemaker,other,0
5360,homeowner,other,0
5361,homer,other,0
5365,homeworker,other,0
5375,honeycreeper,other,0
5376,honeyeater,other,0
5378,honeysucker,other,0
5380,honker,other,0
5384,hoofer,other,0
5390,hooter,other,0
5393,hopper,other,0
5403,horsebreaker,other,0
5408,horsepower,other,0
5413,hosier,other,0
5422,hotelkeeper,other,0
5424,hotter,other,0
5432,housefather,other,0
5433,householder,other,0
5435,housekeeper,other,0
5436,housemaster,other,0
5437,housemother,other,0
5438,houseowner,other,0
5451,howler,other,0
5469,humidifier,other,0
5482,hunter,other,0
5485,hurdler,other,0
5486,hurler,other,0
5492,hustler,other,0
5507,hydrometer,other,0
5509,hydropower,other,0
5512,hygrometer,other,0
5528,icebreaker,other,0
5539,identifier,other,0
5541,idler,other,0
5546,igniter,other,0
5558,illustrator,other,0
5565,imager,other,0
5566,imagesetter,other,0
5573,imitator,other,0
5578,impactor,other,0
5582,impeller,other,0
5584,impersonator,other,0
5588,importer,other,0
5602,incinerator,other,0
5607,incomer,other,0
5612,incubator,other,0
5616,indenter,other,0
5619,indicator,other,0
5632,influencer,other,0
5633,informer,other,0
5643,inhaler,other,0
5645,inheritor,other,0
5647,inhibitor,other,0
5648,initiator,other,0
5649,injector,other,0
5655,innkeeper,other,0
5656,innovator,other,0
5665,inseminator,other,0
5668,insider,other,0
5669,inspector,other,0
5671,installer,other,0
5674,instigator,other,0
5675,institutor,other,0
5676,instructor,other,0
5678,insulator,other,0
5680,insurer,other,0
5681,inswinger,other,0
5683,integrator,other,0
5684,intelligencer,other,0
5687,intensifier,other,0
5691,intercellular,other,0
5692,interceptor,other,0
5693,intercessor,other,0
5695,intercooler,other,0
5697,interdictor,other,0
5701,interferometer,other,0
5704,interlayer,other,0
5715,interpolator,other,0
5719,interrogator,other,0
5720,interrupter,other,0
5724,interviewer,other,0
5725,interwar,other,0
5734,intruder,other,0
5736,invader,other,0
5738,inventor,other,0
5742,inverter,other,0
5743,investigator,other,0
5744,investor,other,0
5748,iodophor,other,0
5750,ionizer,other,0
5751,ionomer,other,0
5755,ironmaster,other,0
5756,ironmonger,other,0
5771,islander,other,0
5782,issuer,other,0
5809,jackhammer,other,0
5827,jailer,other,0
5832,jammer,other,0
5851,jawbreaker,other,0
5871,jester,other,0
5893,jobseeker,other,0
5895,jogger,other,0
5900,jointer,other,0
5901,joker,other,0
5906,jotter,other,0
5918,juggler,other,0
5920,juicer,other,0
6022,keeler,other,0
6024,keeper,other,0
6067,keyboarder,other,0
6068,keyholder,other,0
6095,kicker,other,0
6097,kidder,other,0
6100,kidnapper,other,0
6115,killer,other,0
6127,kindergartener,other,0
6129,kingfisher,other,0
6155,kitchener,other,0
6197,kneeler,other,0
6206,knitwear,other,0
6208,knocker,other,0
6214,knuckleduster,other,0
6344,labourer,other,0
6352,lacunar,other,0
6359,ladykiller,other,0
6379,laker,other,0
6386,laminar,other,0
6393,lamplighter,other,0
6398,lander,other,0
6400,landholder,other,0
6403,landlubber,other,0
6408,landowner,other,0
6450,latecomer,other,0
6452,later,other,0
6461,laugher,other,0
6464,launcher,other,0
6476,lawbreaker,other,0
6478,lawgiver,other,0
6481,lawmaker,other,0
6483,lawnmower,other,0
6486,lawyer,other,0
6497,leader,other,0
6500,leafhopper,other,0
6510,learner,other,0
6517,leatherwear,other,0
6519,leaver,other,0
6525,lecturer,other,0
6537,leftover,other,0
6564,leisurewear,other,0
6571,lender,other,0
6598,leveller,other,0
6610,lexicographer,other,0
6615,libber,other,0
6620,liberator,other,0
6637,lifer,other,0
6638,lifesaver,other,0
6644,lightener,other,0
6658,limeburner,other,0
6662,limiter,other,0
6664,limner,other,0
6670,linebacker,other,0
6673,liner,other,0
6679,linker,other,0
6682,linter,other,0
6694,liquidator,other,0
6696,liquidizer,other,0
6701,listener,other,0
6710,litterer,other,0
6715,livebearer,other,0
6716,livener,other,0
6721,loader,other,0
6723,loadmaster,other,0
6726,lobar,other,0
6732,locator,other,0
6746,lodger,other,0
6750,logger,other,0
6759,loner,other,0
6762,longliner,other,0
6767,looker,other,0
6768,looper,other,0
6770,loosener,other,0
6781,loser,other,0
6787,loudhailer,other,0
6789,loudspeaker,other,0
6793,lounger,other,0
6796,lover,other,0
6823,lumper,other,0
6824,lumpsucker,other,0
6833,lurker,other,0
6880,magnetometer,other,0
6892,mailer,other,0
6903,maintainer,other,0
6910,maker,other,0
6920,malingerer,other,0
6930,maltster,other,0
6933,manager,other,0
6938,manchester,other,0
6951,manipulator,other,0
6963,manpower,other,0
6965,manslaughter,other,0
6970,manufacturer,other,0
6976,marauder,other,0
6979,marcher,other,0
